﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,,,
spotify:track:2VQc9orzwE6a5qFfy54P6e,Blessings (feat. Jamila Woods),"Chance the Rapper, Jamila Woods",Coloring Book,1,5,221939,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:6m9qPYXmhge2QhBLfFKnVF,Same Drugs,Chance the Rapper,Coloring Book,1,6,257775,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:3eze1OsZ1rqeXkKStNfTmi,Juke Jam (feat. Justin Bieber & Towkio),"Chance the Rapper, Justin Bieber, Towkio",Coloring Book,1,9,219683,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:0yFvWTLs3iIwDbc91noXGT,GRoCERIES,"Chance the Rapper, TisaKorean, Murda Beatz",GRoCERIES,1,1,226845,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:4ygQUye7obtqhSltSxp18H,Pusha Man,"Chance the Rapper, Nate Fox",Acid Rap,1,2,139406,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:6Oe5tmI1bfguCp6dKHbSj6,Paranoia,"Chance the Rapper, Nosaj Thing",Acid Rap,1,3,275281,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:3VhGbMpUONRwUIvgFoF14b,Juice,Chance the Rapper,Acid Rap,1,5,30300,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:5v2ePUTZiv1mPDCD1nSbfF,Lost,"Chance the Rapper, Noname",Acid Rap,1,6,184562,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:4NBQVFmu2R7lmRU3yoSMm4,Everybody's Something,"Chance the Rapper, Saba, BJ The Chicago Kid",Acid Rap,1,7,276937,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:7nrraHMpSbyJJoN3unjjoJ,Interlude (That's Love),Chance the Rapper,Acid Rap,1,8,149875,spotify:user:wywymarsh,2019-07-03T18:04:29Z,,,
spotify:track:2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),"Meek Mill, Drake",Championships,1,9,180522,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0TCnOEVeLQMXOUrpPlM7uY,Guatemala - From Swaecation,"Rae Sremmurd, Swae Lee, Slim Jxmmi",SR3MM,2,5,256341,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2LUVo82IKIpCuBNSaqF0G8,Corona,Minutemen,Double Nickels on the Dime,1,19,145533,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),XXXTENTACION,SKINS,1,4,157776,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3EQ9QP2E7wjYQba8OSPBst,Intro,Meek Mill,Championships,1,1,213402,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:4Hff1IjRbLGeLgFgxvHflk,DARE,Gorillaz,Demon Days,1,12,244999,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:4dF64aLXD44dyt1DJfc29x,Dawsin's Breek (feat. A$AP Rocky) [Remix],"Ty Dolla $ign, A$AP Rocky",Dawsin's Breek (feat. A$AP Rocky) [Remix],1,1,183806,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2Jlx7CGCVi3mRbKcA53YOn,Drew Barrymore,Bryce Vine,Drew Barrymore,1,1,190471,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6SAKXCj5jyF6IgPCPbZ5ra,Armed And Dangerous,Juice WRLD,Armed And Dangerous,1,1,169999,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6j97zG4DDrh3oUa6rZbFOs,FeRRis WhEEL (feat. Trippie Redd),"Tory Lanez, Trippie Redd",LoVE me NOw,1,8,151649,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,Sundress,1,1,158205,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0Sxr5DOtd39MVojwC1motg,Let It Happen - Soulwax Remix,"Tame Impala, Soulwax",Currents B-Sides & Remixes,1,5,556924,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1eMWxSLN7rDSDSrvKSj8gS,Sweet Chick (feat. BJ The Chicago Kid),"Anderson .Paak, BJ The Chicago Kid",Oxnard,1,13,237240,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,American Boy,"Estelle, Kanye West",Shine,1,3,284733,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2WVQoEzFxodptHFuQqraT9,Wish,"Diplo, Trippie Redd",Wish,1,1,175273,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:5RCfvwDewu6p2x1mEI6smX,The Race,Tay-K,#SantanaWorld,1,1,140944,spotify:user:wywymarsh,2019-07-03T15:43:25Z,,,
spotify:track:6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),"YNW Melly, Kanye West",We All Shine,1,9,230400,spotify:user:wywymarsh,2019-07-03T15:43:25Z,,,
spotify:track:4osgfFTICMkcGbbigdsa53,Novacane,Frank Ocean,Novacane,1,1,302346,spotify:user:wywymarsh,2019-07-03T15:43:02Z,,,
spotify:track:4IBTEftHDFMV8femNMlfMP,Sweet Talk,The Killers,Sawdust,1,5,258866,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,1,1,272394,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:4YPhn26bIFm2KUkL1VLzQG,Say It Ain't So,Weezer,Weezer (Deluxe Edition),2,14,256880,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:6EkWkW6fbaky8N5BVCGFFB,american dream,LCD Soundsystem,call the police / american dream,1,2,373080,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,Currents,1,7,216320,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:2YGpRCRvmTNAIUnmBb96fD,Time Won't Let Me Go,The Bravery,The Sun And The Moon,1,6,251320,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:6YQeOwMMAkB9MV9yMWmrjh,Threat of Joy,The Strokes,Future Present Past,1,3,264661,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:28C4nmrd7BTu0XbOmaTHZr,Greek Tragedy,The Wombats,Glitterbug (Deluxe Version),1,3,209557,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:3FtYbEfBqAlGO46NUDQSAt,Electric Feel,MGMT,Oracular Spectacular,1,4,229640,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:3KpA4FKeMAR3zMZ7zPAPjl,Hot Tonight,Tokyo Police Club,Forcefield,1,2,185940,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:0Xy9xPPs2zRRFqljGqKXel,Pyro,Kings of Leon,Come Around Sundown,1,3,250533,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:2idmlkd8oUaQvYEtINpLBX,Heads Will Roll - A-Trak Remix,"Yeah Yeah Yeahs, A-Trak",Heads Will Roll,1,1,383546,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
spotify:track:3t87C08isN6yw2DnWOorLm,Hannah Hunt,Vampire Weekend,Modern Vampires of the City,1,6,237973,spotify:user:wywymarsh,2019-07-03T15:43:11Z,,,
